,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y_pred[31],4.877,1.232,2.484,7.1,0.025,0.033,2420.0,1390.0,1.0
y_pred[32],7.431,2.526,2.477,12.0,0.051,0.061,2442.0,1366.0,1.0
y_pred[33],9.364,4.362,0.998,17.308,0.1,0.137,1902.0,1416.0,1.0
y_pred[34],9.348,4.24,1.502,16.857,0.085,0.118,2478.0,1272.0,1.0
y_pred[35],3.421,0.812,1.77,4.844,0.014,0.022,3422.0,1252.0,1.0
y_pred[36],6.005,1.747,2.41,8.887,0.034,0.04,2616.0,1247.0,1.0
y_pred[37],5.068,1.303,2.731,7.497,0.026,0.028,2546.0,1607.0,1.0
y_pred[38],9.0,3.767,1.807,15.934,0.073,0.089,2653.0,1420.0,1.0
y_pred[39],2.979,0.757,1.632,4.473,0.015,0.017,2862.0,1481.0,1.0
y_pred[40],6.639,2.056,2.873,10.543,0.048,0.048,1810.0,1412.0,1.0
y_pred[41],6.811,2.104,2.947,10.74,0.044,0.05,2334.0,1223.0,1.0
y_pred[42],2.433,0.62,1.239,3.56,0.014,0.014,1972.0,1445.0,1.0
y_pred[43],9.159,3.935,1.904,16.947,0.074,0.097,2846.0,1516.0,1.0
y_pred[44],6.011,1.813,2.898,9.702,0.035,0.045,2663.0,1257.0,1.0
y_pred[45],2.665,0.676,1.312,3.899,0.012,0.016,2978.0,1417.0,1.0
y_pred[46],3.193,0.823,1.682,4.735,0.018,0.024,2054.0,979.0,1.0
y_pred[47],2.667,0.667,1.348,3.825,0.013,0.015,2497.0,1530.0,1.0
y_pred[48],4.462,1.123,2.37,6.496,0.032,0.026,1237.0,1155.0,1.0
y_pred[49],5.625,1.539,2.461,8.301,0.032,0.032,2321.0,1366.0,1.0
y_pred[50],4.656,1.149,2.57,6.863,0.026,0.027,2028.0,1297.0,1.0
y_pred[51],7.47,2.569,2.698,12.416,0.051,0.062,2529.0,1447.0,1.0
y_pred[52],9.369,4.274,0.891,16.747,0.083,0.106,2621.0,1349.0,1.0
y_pred[53],7.248,2.36,2.767,11.511,0.043,0.059,2945.0,1126.0,1.0
y_pred[54],7.921,2.789,2.743,12.796,0.059,0.062,2197.0,1405.0,1.0
y_pred[55],4.227,1.031,2.269,6.209,0.021,0.025,2439.0,1204.0,1.0
y_pred[56],3.237,0.795,1.755,4.7,0.015,0.018,2822.0,1562.0,1.0
y_pred[57],4.363,1.126,2.402,6.641,0.021,0.031,2918.0,1335.0,1.0
y_pred[58],9.049,3.743,2.142,16.24,0.074,0.09,2595.0,1368.0,1.0
y_pred[59],3.261,0.814,1.683,4.743,0.015,0.02,2753.0,1438.0,1.0
y_pred[60],8.275,3.185,2.397,14.251,0.066,0.078,2361.0,1458.0,1.0
y_pred[61],4.98,1.292,2.562,7.463,0.023,0.038,2972.0,1248.0,1.0
y_pred[62],5.395,1.465,2.723,8.278,0.029,0.036,2566.0,1325.0,1.0
y_pred[63],7.363,2.534,2.68,12.091,0.048,0.057,2739.0,1385.0,1.0
y_pred[64],6.623,1.873,3.375,10.326,0.037,0.043,2545.0,1454.0,1.0
y_pred[65],8.764,3.369,2.422,15.061,0.068,0.086,2418.0,1526.0,1.0
y_pred[66],7.482,2.589,2.303,12.084,0.053,0.055,2360.0,1379.0,1.0
y_pred[67],2.971,0.741,1.445,4.267,0.014,0.019,2893.0,1444.0,1.0
y_pred[68],9.089,3.686,1.809,15.707,0.084,0.082,1963.0,1554.0,1.0
y_pred[69],7.495,2.632,2.618,12.384,0.05,0.064,2795.0,1298.0,1.0
y_pred[70],5.552,1.493,2.942,8.41,0.027,0.038,3001.0,1638.0,1.0
y_pred[71],9.202,3.853,1.604,16.092,0.083,0.101,2167.0,987.0,1.0
y_pred[72],3.713,0.927,1.869,5.461,0.019,0.024,2473.0,1184.0,1.0
y_pred[73],4.326,1.098,2.312,6.389,0.022,0.026,2570.0,1418.0,1.0
y_pred[74],8.534,3.467,1.969,14.638,0.065,0.084,2884.0,1409.0,1.0
y_pred[75],7.494,2.71,2.518,12.709,0.054,0.069,2562.0,1395.0,1.0
y_pred[76],7.807,2.577,2.917,12.517,0.058,0.056,1964.0,1340.0,1.0
y_pred[77],2.763,0.704,1.393,4.079,0.015,0.016,2298.0,1431.0,1.0
y_pred[78],6.887,2.179,2.952,11.142,0.043,0.053,2581.0,1251.0,1.0
y_pred[79],4.745,1.206,2.514,6.966,0.025,0.026,2387.0,1303.0,1.0
y_pred[80],3.071,0.75,1.586,4.416,0.014,0.017,2690.0,1410.0,1.0
y_pred[81],6.455,1.944,2.735,10.054,0.036,0.058,2884.0,1170.0,1.0
y_pred[82],3.452,0.877,1.853,5.063,0.017,0.023,2774.0,1263.0,1.0
y_pred[83],2.306,0.605,1.205,3.444,0.012,0.016,2674.0,997.0,1.0
y_pred[84],7.463,2.504,2.743,12.123,0.044,0.068,3284.0,1419.0,1.0
y_pred[85],9.442,4.72,0.529,18.455,0.092,0.146,2631.0,979.0,1.0
y_pred[86],6.504,1.999,2.817,10.314,0.035,0.05,3360.0,1455.0,1.0
y_pred[87],2.739,0.698,1.383,4.0,0.013,0.014,2735.0,1476.0,1.0
y_pred[88],5.144,1.344,2.687,7.57,0.025,0.034,2812.0,1369.0,1.0
y_pred[89],6.666,2.053,3.022,10.782,0.042,0.047,2341.0,1603.0,1.0
y_pred[90],3.141,0.753,1.653,4.47,0.015,0.02,2596.0,1300.0,1.0
y_pred[91],9.183,3.967,1.468,16.369,0.08,0.104,2434.0,1077.0,1.0
y_pred[92],6.129,1.737,3.028,9.431,0.034,0.045,2638.0,1213.0,1.0
y_pred[93],9.473,4.547,1.129,18.138,0.09,0.113,2557.0,1329.0,1.0
y_pred[94],5.621,1.528,2.798,8.553,0.027,0.034,3186.0,1383.0,1.0
y_pred[95],3.812,0.916,2.021,5.488,0.016,0.023,3438.0,1625.0,1.0
y_pred[96],4.19,1.038,2.106,5.984,0.021,0.024,2388.0,1316.0,1.0
y_pred[97],4.779,1.247,2.557,7.15,0.023,0.032,3080.0,1240.0,1.0
y_pred[98],8.612,3.44,2.254,15.175,0.068,0.077,2564.0,1365.0,1.0
y_pred[99],3.931,0.948,2.075,5.641,0.017,0.022,3050.0,1554.0,1.0
y_pred[100],6.785,2.095,2.899,10.652,0.036,0.051,3359.0,1516.0,1.0
y_pred[101],2.744,0.701,1.438,4.099,0.016,0.02,2074.0,1317.0,1.0
y_pred[102],5.607,1.502,2.677,8.24,0.031,0.041,2349.0,1146.0,1.01
y_pred[103],2.776,0.715,1.482,4.182,0.013,0.018,2940.0,1239.0,1.0
y_pred[104],7.672,2.661,2.797,12.776,0.055,0.071,2362.0,1361.0,1.0
y_pred[105],6.727,2.034,3.14,10.628,0.04,0.044,2630.0,1484.0,1.0
y_pred[106],2.451,0.653,1.234,3.674,0.012,0.015,2993.0,1715.0,1.0
y_pred[107],3.233,0.811,1.828,4.811,0.016,0.022,2592.0,1317.0,1.0
y_pred[108],3.423,0.863,1.869,5.081,0.016,0.02,3100.0,1436.0,1.0
y_pred[109],5.523,1.479,2.875,8.299,0.031,0.035,2234.0,1307.0,1.0
y_pred[110],8.95,3.69,2.325,16.173,0.068,0.097,2907.0,1360.0,1.0
y_pred[111],8.263,3.193,2.282,13.934,0.058,0.102,3046.0,907.0,1.0
y_pred[112],9.789,4.682,0.883,18.584,0.09,0.13,2724.0,1293.0,1.0
y_pred[113],8.354,3.104,2.143,13.905,0.056,0.077,3078.0,1383.0,1.0
y_pred[114],4.924,1.327,2.644,7.547,0.023,0.042,3192.0,1080.0,1.0
y_pred[115],9.13,3.946,2.172,16.865,0.073,0.092,2930.0,1379.0,1.0
y_pred[116],9.006,3.908,1.34,16.089,0.069,0.097,3158.0,1291.0,1.0
y_pred[117],7.13,2.298,2.24,10.946,0.045,0.058,2619.0,1499.0,1.0
y_pred[118],3.64,0.886,1.925,5.216,0.017,0.023,2725.0,1246.0,1.0
y_pred[119],7.01,2.287,2.503,11.34,0.055,0.057,1756.0,1259.0,1.0
y_pred[120],2.983,0.721,1.61,4.362,0.014,0.017,2687.0,1452.0,1.0
y_pred[121],2.487,0.661,1.24,3.68,0.013,0.017,2748.0,1194.0,1.0
y_pred[122],6.208,1.725,3.124,9.411,0.035,0.042,2457.0,1198.0,1.0
y_pred[123],2.379,0.627,1.243,3.646,0.013,0.017,2507.0,1370.0,1.0
